City,Longitude,Latitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
pampas,-74.9,-12.4,49.48,81.0,33.0,2.77,PE,1603171605.0
vila velha,-40.29,-20.33,69.8,94.0,75.0,2.24,BR,1603171460.0
bluff,168.33,-46.6,51.01,71.0,37.0,13.0,NZ,1603171626.0
karratha,116.85,-20.74,84.47,40.0,0.0,16.93,AU,1603171520.0
ushuaia,-68.3,-54.8,35.6,93.0,75.0,26.4,AR,1603171620.0
havre-saint-pierre,-63.6,50.23,42.8,93.0,90.0,3.36,CA,1603171509.0
tura,90.22,25.52,87.04,59.0,6.0,2.62,IN,1603171636.0
dymer,30.3,50.79,39.99,100.0,0.0,6.71,UA,1603171636.0
avarua,-159.78,-21.21,77.0,83.0,62.0,2.24,CK,1603171621.0
simao,100.97,22.79,62.13,94.0,100.0,1.05,CN,1603171636.0
salalah,54.09,17.02,86.0,58.0,3.0,5.82,OM,1603171631.0
nikolskoye,30.79,59.7,35.6,80.0,90.0,13.42,RU,1603171625.0
longyearbyen,15.64,78.22,26.6,63.0,40.0,3.36,SJ,1603171465.0
sohbatpur,68.54,28.52,91.71,9.0,0.0,1.92,PK,1603171637.0
provideniya,-173.3,64.38,39.2,86.0,75.0,4.47,RU,1603171432.0
natal,-35.21,-5.79,71.6,94.0,40.0,4.7,BR,1603171637.0
rodrigues alves,-72.65,-7.74,74.12,74.0,70.0,1.97,BR,1603171548.0
kapaa,-159.32,22.08,78.8,78.0,40.0,5.82,US,1603171636.0
helong,129.0,42.54,65.25,28.0,0.0,3.76,CN,1603171637.0
ambon,128.18,-3.7,86.0,70.0,75.0,9.17,ID,1603171638.0
norman wells,-126.83,65.28,15.8,78.0,40.0,16.11,CA,1603171638.0
tolaga bay,178.3,-38.37,65.05,67.0,100.0,7.25,NZ,1603171638.0
vestmannaeyjar,-20.27,63.44,39.13,75.0,63.0,2.95,IS,1603171550.0
punta arenas,-70.92,-53.15,39.2,78.0,40.0,5.82,CL,1603171505.0
nsawam,-0.35,5.81,77.0,100.0,90.0,5.82,GH,1603171638.0
georgetown,100.34,5.41,87.8,70.0,20.0,5.82,MY,1603171519.0
dubuque,-90.87,42.48,33.01,96.0,90.0,8.05,US,1603171638.0
chuy,-53.46,-33.7,62.37,91.0,9.0,15.35,UY,1603171595.0
bambous virieux,57.76,-20.34,80.01,65.0,40.0,13.87,MU,1603171626.0
churapcha,132.43,62.0,20.14,94.0,100.0,8.05,RU,1603171639.0
doka,35.77,13.52,76.05,66.0,0.0,3.91,SD,1603171639.0
nyagan,65.39,62.14,32.49,95.0,75.0,4.47,RU,1603171639.0
tazovskiy,78.7,67.47,20.01,97.0,67.0,8.57,RU,1603171639.0
alofi,-169.92,-19.06,75.2,78.0,8.0,16.11,NU,1603171625.0
souillac,57.52,-20.52,78.8,65.0,40.0,13.87,MU,1603171637.0
imeni poliny osipenko,136.49,52.42,40.73,57.0,0.0,8.79,RU,1603171639.0
pisco,-76.22,-13.7,61.0,87.0,0.0,11.41,PE,1603171425.0
busselton,115.33,-33.65,78.01,31.0,10.0,8.25,AU,1603171439.0
sakakah,40.21,29.97,69.8,14.0,0.0,5.19,SA,1603171604.0
xingyi,102.82,24.19,56.89,85.0,97.0,2.84,CN,1603171640.0
castro,-50.01,-24.79,62.13,94.0,69.0,8.14,BR,1603171446.0
cabo san lucas,-109.91,22.89,80.01,85.0,0.0,10.36,MX,1603171546.0
cape town,18.42,-33.93,61.0,93.0,20.0,1.12,ZA,1603171541.0
padang,100.35,-0.95,88.68,54.0,66.0,7.76,ID,1603171640.0
beloha,45.05,-25.17,80.2,31.0,0.0,4.59,MG,1603171611.0
tiznit,-9.5,29.58,70.59,25.0,100.0,11.61,MA,1603171640.0
cherskiy,161.3,68.75,22.05,94.0,77.0,1.68,RU,1603171621.0
priargunsk,119.1,50.37,49.08,48.0,100.0,9.78,RU,1603171641.0
mataura,168.86,-46.19,51.01,71.0,88.0,13.0,NZ,1603171628.0
skjervoy,20.97,70.03,23.0,85.0,40.0,3.36,NO,1603171326.0
bredasdorp,20.04,-34.53,57.2,87.0,57.0,8.05,ZA,1603171649.0
puerto ayora,-90.35,-0.74,70.0,90.0,88.0,5.99,EC,1603171488.0
dikson,80.55,73.51,24.57,94.0,98.0,15.95,RU,1603171635.0
ishinomaki,141.3,38.42,66.2,52.0,20.0,6.93,JP,1603171671.0
atar,-13.05,20.52,81.82,28.0,0.0,6.98,MR,1603171671.0
kisangani,25.2,0.52,70.5,98.0,98.0,1.23,CD,1603171672.0
jamestown,-79.24,42.1,54.0,100.0,90.0,6.93,US,1603171590.0
boke,-14.3,10.94,74.57,90.0,54.0,2.13,GN,1603171672.0
vaini,-175.2,-21.2,73.4,73.0,40.0,9.17,TO,1603171442.0
truth or consequences,-107.25,33.13,66.2,15.0,1.0,10.29,US,1603171672.0
belyy yar,91.39,53.6,32.0,82.0,75.0,8.95,RU,1603171672.0
martapura,114.85,-3.42,87.8,66.0,40.0,4.7,ID,1603171672.0
nhulunbuy,136.77,-12.23,91.4,49.0,20.0,10.29,AU,1603171672.0
bathsheba,-59.52,13.22,77.0,88.0,40.0,4.7,BB,1603171612.0
daye,114.95,30.08,63.91,75.0,99.0,4.59,CN,1603171672.0
butaritari,172.79,3.07,82.45,77.0,100.0,11.79,KI,1603171626.0
arraial do cabo,-42.03,-22.97,72.14,83.0,97.0,21.41,BR,1603171643.0
cidreira,-50.21,-30.18,66.45,93.0,1.0,11.61,BR,1603171673.0
hervey bay,152.85,-25.3,80.01,54.0,40.0,17.22,AU,1603171566.0
kenai,-151.26,60.55,32.0,86.0,1.0,5.82,US,1603171510.0
pevek,170.31,69.7,26.78,93.0,23.0,13.15,RU,1603171651.0
tuatapere,167.68,-46.13,51.01,71.0,68.0,13.0,NZ,1603171656.0
severo-kurilsk,156.12,50.68,41.29,67.0,83.0,18.43,RU,1603171498.0
wewak,143.63,-3.55,83.57,73.0,45.0,6.64,PG,1603171673.0
mariinsk,87.75,56.21,34.57,93.0,100.0,15.73,RU,1603171674.0
tobermory,-81.67,45.25,37.0,92.0,100.0,3.22,CA,1603171674.0
atuona,-139.03,-9.8,78.33,78.0,1.0,19.73,PF,1603171635.0
rikitea,-134.97,-23.12,74.26,78.0,0.0,13.47,PF,1603171386.0
chandler,-111.84,33.31,78.8,21.0,5.0,6.93,US,1603171674.0
abapo,-63.47,-18.83,69.87,70.0,64.0,1.45,BO,1603171674.0
bandar-e lengeh,54.88,26.56,84.2,42.0,0.0,6.93,IR,1603171674.0
cockburn town,-71.14,21.46,82.13,73.0,93.0,9.46,TC,1603171477.0
upernavik,-56.15,72.79,33.78,88.0,100.0,10.2,GL,1603171661.0
sola,167.55,-13.88,80.8,78.0,68.0,14.36,VU,1603171661.0
hermanus,19.23,-34.42,59.0,84.0,39.0,1.99,ZA,1603171448.0
los llanos de aridane,-17.92,28.66,77.0,78.0,87.0,13.87,ES,1603171563.0
dingle,122.67,11.0,80.56,86.0,100.0,5.73,PH,1603171662.0
lorengau,147.27,-2.02,84.09,68.0,100.0,4.32,PG,1603171627.0
la ronge,-105.28,55.1,24.8,58.0,90.0,5.82,CA,1603171609.0
kashi,75.98,39.45,62.6,18.0,0.0,6.71,CN,1603171675.0
hopkinsville,-87.49,36.87,68.0,100.0,40.0,8.05,US,1603171639.0
leningradskiy,178.42,69.38,25.66,90.0,22.0,7.07,RU,1603171474.0
vao,167.48,-22.67,73.17,77.0,42.0,19.3,NC,1603171637.0
albany,-73.97,42.6,57.0,78.0,100.0,7.45,US,1603171624.0
kilcullen,-6.74,53.13,55.4,82.0,40.0,4.7,IE,1603171706.0
sitka,-135.33,57.05,42.8,87.0,90.0,3.4,US,1603171588.0
waingapu,120.26,-9.66,87.69,61.0,0.0,10.89,ID,1603171647.0
sovetskaya gavan,140.29,48.97,47.73,46.0,0.0,3.76,RU,1603171706.0
chokurdakh,147.92,70.63,15.4,97.0,93.0,5.23,RU,1603171649.0
tasiilaq,-37.64,65.61,28.4,100.0,89.0,6.93,GL,1603171442.0
pierre,-100.35,44.37,36.0,74.0,90.0,11.41,US,1603171706.0
smithers,-127.17,54.78,28.4,100.0,75.0,2.24,CA,1603171706.0
rasinari,24.07,45.7,26.6,100.0,0.0,1.74,RO,1603171706.0
tahta,31.5,26.77,73.4,35.0,0.0,2.24,EG,1603171707.0
ilulissat,-51.1,69.22,37.4,95.0,100.0,10.29,GL,1603171707.0
hobart,147.33,-42.88,66.99,55.0,75.0,13.87,AU,1603171631.0
linxia,103.21,35.6,52.7,39.0,100.0,3.58,CN,1603171707.0
san quintin,-115.95,30.48,67.57,84.0,0.0,11.01,MX,1603171510.0
meulaboh,96.13,4.14,87.98,56.0,5.0,4.68,ID,1603171497.0
qaanaaq,-69.36,77.48,29.75,85.0,76.0,8.16,GL,1603171447.0
luderitz,15.16,-26.65,58.01,64.0,0.0,23.51,NA,1603171507.0
zilupe,28.12,56.39,37.35,85.0,89.0,10.56,LV,1603171707.0
cayenne,-52.33,4.93,77.0,94.0,53.0,11.21,GF,1603171707.0
hamilton,-84.53,39.18,54.0,93.0,90.0,4.7,US,1603171447.0
stilfontein,26.77,-26.84,75.96,25.0,15.0,13.42,ZA,1603171708.0
saint-philippe,55.77,-21.36,80.6,61.0,35.0,20.8,RE,1603171623.0
ponta do sol,-17.1,32.67,68.0,88.0,75.0,6.93,PT,1603171639.0
galesong,119.37,-5.32,91.4,55.0,20.0,9.17,ID,1603171708.0
forbes,148.02,-33.38,81.0,33.0,0.0,1.99,AU,1603171708.0
laurel,-76.85,39.1,59.0,93.0,1.0,4.14,US,1603171570.0
hilo,-155.09,19.73,75.2,78.0,1.0,4.7,US,1603171397.0
san patricio,-97.52,28.02,79.0,88.0,20.0,10.29,US,1603171559.0
ribeira grande,-28.7,38.52,63.75,67.0,49.0,28.43,PT,1603171579.0
zavetnoye,43.89,47.12,51.76,82.0,29.0,9.73,RU,1603171708.0
flinders,150.86,-34.58,66.99,70.0,68.0,8.01,AU,1603171666.0
geraldton,114.6,-28.77,75.2,53.0,40.0,11.41,AU,1603171650.0
durant,-96.37,33.99,59.0,82.0,90.0,5.82,US,1603171709.0
marawi,124.29,8.0,86.0,77.0,97.0,5.01,PH,1603171709.0
biak,122.88,-0.91,83.88,68.0,100.0,8.84,ID,1603171709.0
qurayyat,37.34,31.33,60.8,29.0,0.0,8.52,SA,1603171709.0
santa rosa,121.11,14.31,80.01,94.0,90.0,5.82,PH,1603171709.0
katsuura,140.3,35.13,71.01,56.0,40.0,13.87,JP,1603171622.0
hukuntsi,21.75,-24.0,71.8,20.0,39.0,15.17,BW,1603171709.0
muros,-9.06,42.78,62.01,86.0,93.0,8.99,ES,1603171671.0
mar del plata,-57.56,-38.0,52.0,71.0,4.0,9.17,AR,1603171471.0
udachnyy,112.4,66.42,17.6,92.0,90.0,2.24,RU,1603171489.0
victoria,114.16,22.29,80.01,63.0,0.0,1.99,HK,1603171490.0
lavrentiya,-171.0,65.58,33.64,81.0,1.0,4.88,RU,1603171479.0
yangjiang,111.97,21.85,81.0,53.0,12.0,9.8,CN,1603171740.0
iqaluit,-68.51,63.75,26.6,79.0,90.0,5.82,CA,1603171680.0
shieli,66.75,44.17,65.21,26.0,0.0,9.24,KZ,1603171740.0
port keats,129.55,-14.25,90.23,51.0,62.0,8.19,AU,1603171740.0
coquimbo,-71.34,-29.95,55.4,76.0,0.0,5.82,CL,1603171413.0
barrow,-156.79,71.29,24.8,79.0,90.0,11.41,US,1603171452.0
tiksi,128.87,71.69,14.94,92.0,100.0,22.86,RU,1603171741.0
port elizabeth,25.57,-33.92,62.6,59.0,57.0,21.92,ZA,1603171649.0
saldanha,17.94,-33.01,55.4,87.0,47.0,1.12,ZA,1603171583.0
hithadhoo,73.08,-0.6,82.8,78.0,92.0,12.48,MV,1603171633.0
viedma,-63.0,-40.81,42.57,65.0,0.0,2.98,AR,1603171741.0
fukue,128.84,32.69,71.6,46.0,0.0,11.41,JP,1603171464.0
pinyug,47.78,60.25,32.68,97.0,92.0,5.61,RU,1603171741.0
huilong,121.66,31.81,72.0,57.0,1.0,3.0,CN,1603171741.0
port alfred,26.89,-33.59,63.5,68.0,15.0,22.93,ZA,1603171629.0
porto novo,2.6,6.5,76.78,91.0,90.0,5.37,BJ,1603171496.0
labrea,-64.8,-7.26,74.19,85.0,85.0,0.51,BR,1603171742.0
bengkulu,102.27,-3.8,85.73,62.0,100.0,5.19,ID,1603171633.0
porto nacional,-48.42,-10.71,77.0,78.0,67.0,8.05,BR,1603171742.0
antofagasta,-70.4,-23.65,57.2,87.0,90.0,6.93,CL,1603171413.0
lompoc,-120.46,34.64,57.2,93.0,90.0,4.7,US,1603171410.0
ahipara,173.17,-35.17,63.66,69.0,91.0,8.57,NZ,1603171686.0
namibe,12.15,-15.2,66.58,84.0,18.0,2.15,AO,1603171616.0
sibu,111.82,2.3,89.6,62.0,75.0,3.36,MY,1603171608.0
greystones,-6.06,53.14,55.0,87.0,73.0,16.87,IE,1603171742.0
sosnovo-ozerskoye,111.54,52.52,30.07,90.0,100.0,13.38,RU,1603171742.0
lodwar,35.6,3.12,84.52,44.0,71.0,17.67,KE,1603171743.0
usinsk,57.53,65.99,23.97,93.0,100.0,7.25,RU,1603171743.0
fortuna,-124.16,40.6,55.0,100.0,90.0,6.93,US,1603171743.0
mizdah,12.98,31.45,52.84,85.0,0.0,4.79,LY,1603171743.0
opuwo,13.84,-18.06,64.06,29.0,0.0,2.8,NA,1603171561.0
namatanai,152.43,-3.67,84.0,70.0,97.0,2.42,PG,1603171743.0
airai,125.41,-8.93,81.41,36.0,0.0,5.64,TL,1603171453.0
xinmin,122.83,41.99,71.6,33.0,3.0,20.13,CN,1603171743.0
chitral,71.79,35.85,65.82,22.0,0.0,6.44,PK,1603171743.0
bubaque,-15.83,11.28,82.35,86.0,56.0,7.2,GW,1603171548.0
fomboni,43.74,-12.28,78.69,72.0,0.0,4.36,KM,1603171744.0
bow island,-111.37,49.87,28.4,79.0,90.0,4.7,CA,1603171744.0
akure,5.19,7.25,70.32,99.0,97.0,1.88,NG,1603171744.0
balakirevo,38.84,56.51,34.0,90.0,92.0,11.18,RU,1603171744.0
north port,-82.24,27.04,75.0,96.0,99.0,10.67,US,1603171744.0
duldurga,113.59,50.68,35.47,78.0,100.0,20.18,RU,1603171744.0
pyatovskiy,36.06,54.69,35.6,82.0,90.0,11.18,RU,1603171744.0
maceio,-35.74,-9.67,69.8,94.0,23.0,2.24,BR,1603171241.0
bocaiuva,-43.81,-17.11,66.83,82.0,99.0,7.52,BR,1603171745.0
tigil,158.67,57.8,38.19,77.0,100.0,5.93,RU,1603171745.0
